iter	Passed	Remaining
142	450	2702
143	452	2691
144	454	2679
145	458	2679
146	461	2677
147	463	2666
148	464	2655
149	466	2644
150	468	2633
151	470	2623
152	473	2618
153	475	2612
154	477	2602
155	479	2592
156	481	2587
157	483	2578
158	486	2570
159	488	2566
160	490	2556
161	492	2548
162	494	2538
163	496	2529
164	498	2521
165	500	2513
166	503	2513
167	505	2504
168	507	2496
169	510	2490
170	511	2481
171	513	2472
172	515	2466
173	519	2465
174	521	2457
175	523	2448
176	525	2444
177	527	2437
178	529	2428
179	533	2432
180	535	2424
181	538	2418
182	540	2410
183	542	2403
184	543	2395
185	546	2392
186	550	2391
187	551	2383
188	554	2379
189	556	2371
190	558	2363
191	560	2357
192	565	2363
193	568	2360
194	569	2352
195	572	2346
196	576	2349
197	580	2351
198	582	2344
199	584	2338
200	586	2330
201	587	2322
202	590	2317
203	592	2312
204	596	2311
205	597	2304
206	599	2297
207	602	2293
208	605	2290
209	607	2284
210	611	2285
211	612	2277
212	614	2270
213	616	2263
214	618	2259
215	622	2259
216	626	2260
217	628	2252
218	630	2246
219	631	2240
220	634	2235
221	637	2233
222	642	2237
223	644	2231
224	645	2224
225	647	2217
226	649	2212
227	653	2211
228	656	2210
229	659	2209
230	662	2205
231	664	2199
232	666	2193
233	668	2188
234	671	2186
235	673	2179
236	675	2174
237	677	2169
238	679	2163
239	682	2162
240	684	2157
241	688	2155
242	689	2148
243	691	2142
244	693	2135
245	694	2129
246	698	2129
247	701	2127
248	703	2121
249	705	2116
250	707	2111
251	709	2105
252	711	2101
253	716	2104
254	719	2100
255	723	2103
256	726	2099
257	728	2094
258	732	2094
259	734	2090
260	736	2086
261	739	2083
262	742	2081
263	746	2080
264	750	2080
265	752	2075
266	753	2069
267	761	2079
268	766	2082
269	768	2077
270	770	2071
271	772	2067
272	774	2062
273	777	2060
274	780	2057
275	782	2051
276	784	2048
277	787	2045
278	789	2041
279	792	2037
280	795	2034
281	799	2035
282	801	2029
283	804	2027
284	809	2031
285	812	2029
286	814	2024
287	816	2018
288	818	2014
289	821	2011
290	826	2013
291	828	2008
292	830	2003
293	832	1999
294	835	1995
295	838	1994
296	843	1995
297	846	1994
298	849	1991
299	851	1986
300	853	1982
301	856	1978
302	858	1973
303	860	1969
304	862	1965
305	864	1960
306	866	1956
307	870	1956
308	873	1952
309	876	1949
310	878	1946
311	881	1943
312	885	1944
313	889	1942
314	891	1939
315	894	1936
316	900	1940
317	903	1936
318	905	1932
319	910	1934
320	917	1939
321	919	1936
322	921	1932
323	924	1928
324	926	1924
325	929	1920
326	933	1921
327	937	1919
328	939	1915
329	941	1911
330	944	1908
331	947	1906
332	950	1904
333	953	1900
334	955	1896
335	957	1892
336	961	1890
337	964	1889
338	967	1885
339	970	1883
340	972	1879
341	976	1877
342	985	1887
343	987	1883
344	990	1880
345	995	1882
346	997	1877
347	1000	1873
348	1002	1869
349	1004	1866
350	1008	1865
351	1011	1862
352	1014	1859
353	1016	1855
354	1019	1851
355	1021	1848
356	1024	1845
357	1026	1840
358	1028	1836
359	1030	1831
360	1032	1827
361	1034	1824
362	1037	1820
363	1039	1816
364	1041	1812
365	1044	1808
366	1046	1804
367	1048	1801
368	1051	1798
369	1054	1795
370	1059	1796
371	1061	1792
372	1063	1788
373	1066	1785
374	1069	1782
375	1071	1778
376	1074	1774
377	1076	1771
378	1078	1767
379	1093	1784
380	1097	1782
381	1104	1786
382	1106	1782
383	1116	1791
384	1118	1787
385	1121	1783
386	1123	1779
387	1125	1775
388	1128	1771
389	1130	1768
390	1132	1764
391	1134	1760
392	1137	1756
393	1141	1754
394	1143	1751
395	1145	1747
396	1148	1744
397	1150	1740
398	1152	1735
399	1154	1731
400	1156	1727
401	1162	1729
402	1166	1728
403	1169	1725
404	1171	1721
405	1173	1717
406	1176	1714
407	1178	1710
408	1181	1706
409	1183	1703
410	1185	1699
411	1187	1695
412	1191	1693
413	1194	1690
414	1196	1686
415	1199	1683
416	1201	1679
417	1203	1676
418	1208	1675
419	1211	1672
420	1213	1668
421	1215	1664
422	1217	1660
423	1220	1657
424	1223	1655
425	1226	1653
426	1229	1649
427	1232	1647
428	1236	1645
429	1238	1641
430	1240	1637
431	1242	1633
432	1244	1630
433	1247	1626
434	1249	1623
435	1252	1620
436	1254	1616
437	1256	1611
438	1257	1607
439	1259	1602
440	1261	1599
441	1267	1600
442	1270	1596
443	1272	1593
444	1274	1589
445	1276	1585
446	1278	1581
447	1280	1577
448	1282	1574
449	1284	1570
450	1286	1565
451	1287	1561
452	1289	1557
453	1291	1552
454	1292	1548
455	1294	1544
456	1297	1542
457	1300	1539
458	1303	1535
459	1305	1532
460	1307	1529
461	1310	1525
462	1313	1523
463	1319	1524
464	1327	1526
465	1331	1526
466	1334	1522
467	1336	1519
468	1339	1516
469	1351	1523
470	1353	1520
471	1356	1517
472	1359	1514
473	1363	1512
474	1366	1509
475	1368	1506
476	1370	1503
477	1373	1499
478	1379	1500
479	1381	1496
480	1383	1493
481	1389	1493
482	1392	1490
483	1394	1486
484	1396	1483
485	1398	1478
486	1400	1475
487	1402	1471
488	1404	1467
489	1407	1464
490	1409	1460
491	1411	1457
492	1413	1453
493	1414	1449
494	1416	1445
495	1419	1442
496	1421	1438
497	1424	1435
498	1426	1432
499	1428	1428
500	1430	1424
501	1434	1422
502	1436	1419
503	1438	1415
504	1440	1411
505	1442	1408
506	1444	1404
507	1445	1400
508	1447	1396
509	1449	1392
510	1452	1389
511	1454	1385
512	1456	1382
513	1458	1378
514	1460	1375
515	1462	1371
516	1464	1368
517	1466	1364
518	1468	1361
519	1470	1357
520	1472	1353
521	1474	1350
522	1476	1346
523	1478	1342
524	1480	1339
525	1482	1336
526	1484	1332
527	1486	1328
528	1488	1325
529	1490	1321
530	1492	1318
531	1494	1314
532	1496	1311
533	1498	1307
534	1500	1303
535	1502	1300
536	1503	1296
537	1505	1292
538	1507	1289
539	1509	1285
540	1511	1282
541	1514	1279
542	1515	1275
543	1517	1272
544	1519	1268
545	1520	1264
546	1522	1260
547	1524	1257
548	1526	1254
549	1528	1250
550	1530	1247
551	1532	1243
552	1534	1240
553	1536	1236
554	1537	1233
555	1539	1229
556	1541	1226
557	1543	1222
558	1545	1219
559	1546	1215
560	1548	1212
561	1550	1208
562	1552	1204
563	1554	1201
564	1558	1199
565	1560	1196
566	1562	1193
567	1564	1189
568	1566	1186
569	1569	1183
570	1571	1180
571	1573	1177
572	1575	1173
573	1576	1170
574	1578	1166
575	1580	1163
576	1582	1159
577	1584	1156
578	1586	1153
579	1588	1150
580	1590	1146
581	1591	1143
582	1593	1139
583	1595	1136
584	1597	1133
585	1599	1129
586	1601	1126
587	1602	1123
588	1604	1119
589	1606	1116
590	1608	1113
591	1610	1109
592	1612	1106
593	1615	1104
594	1617	1101
595	1619	1097
596	1621	1094
597	1623	1091
598	1625	1088
599	1627	1084
600	1628	1081
601	1630	1078
602	1634	1075
603	1636	1072
604	1638	1069
605	1640	1066
606	1642	1063
607	1643	1059
608	1646	1057
609	1648	1053
610	1650	1050
611	1651	1047
612	1653	1044
613	1655	1040
614	1657	1037
615	1661	1035
616	1663	1032
617	1666	1029
618	1668	1026
619	1669	1023
620	1671	1020
621	1673	1017
622	1676	1014
623	1679	1011
624	1680	1008
625	1682	1005
626	1684	1002
627	1685	998
628	1687	995
629	1689	992
630	1691	989
631	1693	986
632	1695	982
633	1696	979
634	1698	976
635	1700	973
636	1701	969
637	1703	966
638	1705	963
639	1707	960
640	1709	957
641	1710	953
642	1712	950
643	1713	947
644	1715	944
645	1717	941
646	1719	938
647	1722	935
648	1723	932
649	1725	929
650	1727	925
651	1729	922
652	1730	919
653	1732	916
654	1734	913
655	1735	910
656	1738	907
657	1739	904
658	1741	901
659	1742	897
660	1744	894
661	1746	891
662	1748	888
663	1750	885
664	1752	882
665	1754	879
666	1756	876
667	1757	873
668	1759	870
669	1760	867
670	1762	864
671	1764	861
672	1766	858
673	1768	855
674	1770	852
675	1772	849
676	1773	846
677	1775	843
678	1777	840
679	1779	837
680	1781	834
681	1784	831
682	1786	829
683	1788	826
684	1789	823
685	1792	820
686	1794	817
687	1796	814
688	1798	811
689	1800	808
690	1801	805
691	1803	802
692	1804	799
693	1806	796
694	1809	794
695	1812	791
696	1814	788
697	1816	785
698	1819	783
699	1821	780
700	1823	777
701	1826	775
702	1828	772
703	1831	769
704	1834	767
705	1836	764
706	1839	762
707	1843	760
708	1845	757
709	1848	754
710	1850	752
711	1852	749
712	1854	746
713	1856	743
714	1859	741
715	1861	738
716	1862	735
717	1864	732
718	1866	729
719	1868	726
720	1870	723
721	1872	721
722	1874	718
723	1877	715
724	1879	712
725	1881	710
726	1884	707
727	1887	705
728	1889	702
729	1892	700
730	1895	697
731	1898	695
732	1900	692
733	1903	689
734	1905	686
735	1907	684
736	1909	681
737	1911	678
738	1913	675
739	1921	675
740	1926	673
741	1931	671
742	1933	668
743	1937	666
744	1940	664
745	1942	661
746	1944	658
747	1947	655
748	1949	653
749	1953	651
750	1955	648
751	1957	645
752	1960	642
753	1961	640
754	1964	637
755	1967	635
756	1970	632
757	1972	629
758	1974	627
759	1976	624
760	1979	621
761	1981	618
762	1983	616
763	1985	613
764	1987	610
765	1989	607
766	1990	604
767	1993	602
768	1995	599
769	1996	596
770	1998	593
771	2000	590
772	2002	588
773	2004	585
774	2006	582
775	2008	579
776	2010	576
777	2011	574
778	2013	571
779	2015	568
780	2017	565
781	2019	562
782	2020	560
783	2022	557
784	2024	554
785	2026	551
786	2028	548
787	2030	546
788	2031	543
789	2034	540
790	2039	538
791	2041	536
792	2043	533
793	2045	530
794	2047	527
795	2049	525
796	2051	522
797	2054	519
798	2056	517
799	2057	514
800	2059	511
801	2064	509
802	2066	507
803	2070	504
804	2073	502
805	2074	499
806	2076	496
807	2079	494
808	2082	491
809	2086	489
810	2089	486
811	2091	484
812	2095	481
813	2096	479
814	2099	476
815	2102	474
816	2104	471
817	2105	468
818	2108	465
819	2110	463
820	2113	460
821	2116	458
822	2118	455
823	2120	452
824	2122	450
825	2124	447
826	2126	444
827	2128	442
828	2131	439
829	2132	436
830	2134	434
831	2136	431
832	2138	428
833	2140	426
834	2142	423
835	2145	420
836	2147	418
837	2149	415
838	2150	412
839	2152	410
840	2154	407
841	2156	404
842	2158	402
843	2161	399
844	2163	396
845	2165	394
846	2167	391
847	2169	388
848	2171	386
849	2174	383
850	2176	381
851	2178	378
852	2180	375
853	2182	373
854	2184	370
855	2186	367
856	2188	365
857	2190	362
858	2192	359
859	2194	357
860	2196	354
861	2199	352
862	2201	349
863	2203	346
864	2205	344
865	2207	341
866	2210	339
867	2211	336
868	2213	333
869	2216	331
870	2219	328
871	2222	326
872	2224	323
873	2226	321
874	2229	318
875	2230	315
876	2233	313
877	2238	310
878	2241	308
879	2243	305
880	2245	303
881	2254	301
882	2256	299
883	2259	296
884	2262	293
885	2264	291
886	2266	288
887	2268	286
888	2270	283
889	2272	280
890	2274	278
891	2275	275
892	2277	272
893	2279	270
894	2281	267
895	2283	265
896	2285	262
897	2287	259
898	2289	257
899	2290	254
900	2292	251
901	2294	249
902	2296	246
903	2298	244
904	2300	241
905	2302	238
906	2304	236
907	2307	233
908	2312	231
909	2314	228
910	2316	226
911	2319	223
912	2321	221
913	2325	218
914	2330	216
915	2335	214
916	2338	211
917	2342	209
918	2346	206
919	2351	204
920	2357	202
921	2360	199
922	2362	197
923	2372	195
924	2375	192
925	2377	189
926	2381	187
927	2390	185
928	2392	182
929	2395	180
930	2400	177
931	2403	175
932	2405	172
933	2407	170
934	2408	167
935	2411	164
936	2413	162
937	2415	159
938	2419	157
939	2421	154
940	2422	151
941	2425	149
942	2428	146
943	2430	144
944	2434	141
945	2436	139
946	2438	136
947	2440	133
948	2442	131
949	2444	128
950	2446	126
951	2449	123
952	2453	120
953	2456	118
954	2458	115
955	2461	113
956	2464	110
957	2466	108
958	2469	105
959	2471	102
960	2473	100
961	2476	97
962	2478	95
963	2480	92
964	2482	90
965	2484	87
966	2486	84
967	2488	82
968	2490	79
969	2495	77
970	2497	74
971	2499	71
972	2501	69
973	2503	66
974	2505	64
975	2509	61
976	2512	59
977	2514	56
978	2516	53
979	2519	51
980	2524	48
981	2527	46
982	2529	43
983	2531	41
984	2534	38
985	2536	36
986	2538	33
987	2540	30
988	2542	28
989	2544	25
990	2546	23
991	2548	20
992	2550	17
993	2552	15
994	2555	12
995	2557	10
996	2559	7
997	2561	5
998	2563	2
999	2565	0
